== Mensagens grandes ==
BIG_MESSAGE.EXTRACTION.ACTIVATED	Ponto de extração ativado
ITEM.VALUABLE_TRACKER	Rastreador de Itens Valiosos
ITEM.VEHICLE_SEMISCOOTER	Cargueiro
ITEM.VEHICLE_SEMISCOOTER_SMALL	Batedor
ITEM.WALKIE_TALKIE	Walkie Semibot
ITEM.WALKIE_TALKIE_BOX	Walkies Semibot
ITEM.CART.MODE_STRONG	Modo: Forte
ITEM.CART.MODE_WEAK	Modo: Fraco

== Status / Melhorias ==
STATS.UPGRADES.HEADER	Melhorias
STATS.UPGRADE.CROUCH_REST	Descansar Agachado
STATS.UPGRADE.DEATH_HEAD_BATTERY	Bateria da Cabeça Destruída
STATS.UPGRADE.EXTRA_JUMP	Extra Pulo
STATS.UPGRADE.HEALTH	Vida
STATS.UPGRADE.LAUNCH	Lançamento Tombado
STATS.UPGRADE.MAP_PLAYER_COUNT	Jogadores no Mapa
STATS.UPGRADE.RANGE	Alcance
STATS.UPGRADE.SPEED	Velocidade de Corrida
STATS.UPGRADE.STAMINA	Energia
STATS.UPGRADE.STRENGTH	Força
STATS.UPGRADE.TUMBLE_CLIMB	Escalada Tombado
STATS.UPGRADE.TUMBLE_WINGS	Asas Tombando

== Fases ==
LEVEL.HEADER	Fase

== Monstros ==
ENEMY.ANIMAL	Animal
ENEMY.BANG	Bombardeiro
ENEMY.BEAMER	Palhaço
ENEMY.BIRTHDAY_BOY	Aniversariante
ENEMY.BOMB_THROWER	Esquadrão de Limpeza
ENEMY.BOWTIE	Gravatinha
ENEMY.CEILING_EYE	Vigia
ENEMY.DUCK	Predador Supremo
ENEMY.ELSA	Elsa
ENEMY.FLOATER	Mentalista
ENEMY.GNOME	Gnomo
ENEMY.HEAD	Cabeçudo
ENEMY.HEAD_GRABBER	Agarrador de Cabeça
ENEMY.HEART_HUGGER	Abraça-Coração
ENEMY.HIDDEN	Sr. Oculto
ENEMY.HUNTER	Caçador
ENEMY.OOGLY	Oogly
ENEMY.ROBE	Robe
ENEMY.RUNNER	Ceifador
ENEMY.SHADOW	Assombração
ENEMY.SLOW_MOUTH	Cuspidor
ENEMY.SLOW_WALKER	Arrastado
ENEMY.SPINNY	Roda da Fortuna
ENEMY.THIN_MAN	Criança Sombria
ENEMY.TICK	Carrapato
ENEMY.TRICYCLE	Bella
ENEMY.TUMBLER	Cozinheiro Chef
ENEMY.UPSCREAM	Gritador
ENEMY.VALUABLE_THROWER	Pirralho

== Estande de melhorias ==
UPGRADE_STAND.INTERACT	Segure para Sortear de Novo ({cost})

== Arena ==
ARENA.WINNER.KING	Rei dos Perdedores!
ARENA.WINNER.LOSERS	Todo Mundo Perdeu!
ARENA.MESSAGE.LAST_LOSER_STANDING	O Maior Perdedor
ARENA.MESSAGE.GAME_OVER	Fim de Jogo

== Lista de espectadores ==
SPECTATE_LIST.HEADER	Os Destruídos:
