== Menu principal ==
MAIN.PRIVATE_GAME	Jogo Privado
REGIONS.REGION.US	EUA Leste
REGIONS.REGION.USW	EUA Oeste
REGIONS.REGION.USSC	EUA Centro-Sul
REGIONS.PING	{ping} ms

== Renomear save ==
SAVES_RENAME.RENAME_SAVE	Renomear Save
SAVES_RENAME.BACK	Voltar
SAVES_RENAME.CONFIRM	Confirmar

== Configurações ==
SETTINGS.HEADER	Configurações
SETTINGS.GAMEPLAY	Jogabilidade
SETTINGS.GAMEPLAY.HEADER	Jogabilidade
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Restaurar Configurações Padrão
SETTINGS.GAMEPLAY.TIPS	Dicas
SETTINGS.GAMEPLAY.PLAYER_NAMES	Nomes dos Jogadores
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Fotossensibilidade
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Aracnofobia
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Sensibilidade da Mira
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Suavização da Câmera
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Tremor da Câmera
SETTINGS.GAMEPLAY.CAMERA_NOISE	Ruído da Câmera
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Animação da Câmera
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Inverter Mira Vertical
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Segurar Item ao Desequipá-lo
SETTINGS.GAMEPLAY.RICH_PRESENCE	Rich Presence
SETTINGS.GAMEPLAY.COSMETICS	Cosméticos
SETTINGS.GAMEPLAY.INVERT_VERTICAL_AIM	Inverter Mira Vertical
SETTINGS.GRAPHICS	Gráficos
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Restaurar Configurações Padrão
SETTINGS.GRAPHICS.WINDOW_MODE	Modo de Janela
SETTINGS.GRAPHICS.VSYNC	VSync
SETTINGS.GRAPHICS.GAMMA	Gama
SETTINGS.GRAPHICS.MAX_FPS	FPS Máximo
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Distância das Luzes
SETTINGS.GRAPHICS.SHADOW_QUALITY	Qualidade das Sombras
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Distância das Sombras
SETTINGS.GRAPHICS.MOTION_BLUR	Desfoque de Movimento
SETTINGS.GRAPHICS.LENS_DISTORTION	Distorção de Lente
SETTINGS.GRAPHICS.BLOOM	Bloom
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Aberração Cromática
SETTINGS.GRAPHICS.GRAIN	Granulado
SETTINGS.GRAPHICS.GLITCH_LOOP	Loop de Glitch
SETTINGS.GRAPHICS.PIXELATION	Pixelização
SETTINGS.GRAPHICS.HEADER	Gráficos
SETTINGS.AUDIO	Áudio
SETTINGS.AUDIO.HEADER	Áudio
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Restaurar Configurações Padrão
SETTINGS.AUDIO.MASTER_VOLUME	Volume Geral
SETTINGS.AUDIO.MUSIC_VOLUME	Volume da Música
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Volume da Voz por Proximidade
SETTINGS.AUDIO.MICROPHONE	Microfone
SETTINGS.AUDIO.MICROPHONE_VOLUME	Volume do Microfone
SETTINGS.AUDIO.PUSH_TO_TALK	Apertar para Falar
SETTINGS.AUDIO.SFX_VOLUME	Volume dos Efeitos
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	Volume da Fala por Texto
SETTINGS.CONTROLS	Controles
SETTINGS.CONTROLS.HEADER	Controles
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Restaurar Configurações Padrão
SETTINGS.CONTROLS.MOVEMENT	Movimento
SETTINGS.CONTROLS.MOVE_FORWARD	Mover para Frente
SETTINGS.CONTROLS.MOVE_LEFT	Mover para a Esquerda
SETTINGS.CONTROLS.MOVE_BACK	Mover para Trás
SETTINGS.CONTROLS.MOVE_RIGHT	Mover para a Direita
SETTINGS.CONTROLS.JUMP	Pular
SETTINGS.CONTROLS.CROUCH	Agachar
SETTINGS.CONTROLS.SPRINT	Correr
SETTINGS.CONTROLS.TUMBLE	Tombar
SETTINGS.CONTROLS.GRABBING	Feixe de Agarrar
SETTINGS.CONTROLS.GRAB	Agarrar
SETTINGS.CONTROLS.ROTATE	Girar
SETTINGS.CONTROLS.PUSH	Empurrar
SETTINGS.CONTROLS.PULL	Puxar
SETTINGS.CONTROLS.OTHER	Outros
SETTINGS.CONTROLS.MAP	Mapa
SETTINGS.CONTROLS.INTERACT	Interagir
SETTINGS.CONTROLS.INVENTORY_1	Inventário 1
SETTINGS.CONTROLS.INVENTORY_2	Inventário 2
SETTINGS.CONTROLS.INVENTORY_3	Inventário 3
SETTINGS.CONTROLS.CHAT	Abrir Chat
SETTINGS.CONTROLS.CONFIRM	Confirmar
SETTINGS.CONTROLS.BACK	Voltar
SETTINGS.CONTROLS.MENU	Menu
SETTINGS.CONTROLS.SPECTATE_NEXT	Ver o Próximo
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	Ver o Anterior
SETTINGS.CONTROLS.PUSH_TO_TALK	Apertar para Falar
SETTINGS.CONTROLS.TOGGLE_MUTE	Alternar Mudo
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	Expressões do Jogador
SETTINGS.CONTROLS.ANGRY	Bravo
SETTINGS.CONTROLS.SAD	Triste
SETTINGS.CONTROLS.SUSPICIOUS	Desconfiado
SETTINGS.CONTROLS.EYES_CLOSED	Olhos Fechados
SETTINGS.CONTROLS.SCARED	Assustado
SETTINGS.CONTROLS.HAPPY	Feliz
SETTINGS.LANGUAGE	Idioma
SETTINGS.LANGUAGE.HEADER	Idioma
SETTINGS.BACK	Voltar
SETTINGS.BOOL.ON	Ligado
SETTINGS.BOOL.OFF	Desligado
SETTINGS.BOOL.TOGGLE	Alternar
SETTINGS.BOOL.HOLD	Segurar
SETTINGS.CAMERA_ANIMATION.OFF	Desligada
SETTINGS.CAMERA_ANIMATION.VERY_LOW	Muito Baixa
SETTINGS.CAMERA_ANIMATION.LOW	Baixa
SETTINGS.CAMERA_ANIMATION.MEDIUM	Média
SETTINGS.CAMERA_ANIMATION.DEFAULT	Padrão
SETTINGS.RICH_PRESENCE.OFF	Desligado
SETTINGS.RICH_PRESENCE.MINIMAL	Mínimo
SETTINGS.RICH_PRESENCE.FULL	Completo
SETTINGS.WINDOW_MODE.WINDOWED	Janela
SETTINGS.WINDOW_MODE.FULLSCREEN	Tela Cheia
SETTINGS.MAX_FPS.UNLIMITED	Ilimitado
SETTINGS.LIGHT_DISTANCE.VERY_LOW	Muito Baixa
SETTINGS.LIGHT_DISTANCE.LOW	Baixa
SETTINGS.LIGHT_DISTANCE.MEDIUM	Média
SETTINGS.LIGHT_DISTANCE.HIGH	Alta
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	Muito Alta
SETTINGS.SHADOW_QUALITY.VERY_LOW	Muito Baixa
SETTINGS.SHADOW_QUALITY.LOW	Baixa
SETTINGS.SHADOW_QUALITY.MEDIUM	Média
SETTINGS.SHADOW_QUALITY.HIGH	Alta
SETTINGS.SHADOW_QUALITY.VERY_HIGH	Muito Alta
SETTINGS.SHADOW_DISTANCE.VERY_LOW	Muito Baixa
SETTINGS.SHADOW_DISTANCE.LOW	Baixa
SETTINGS.SHADOW_DISTANCE.MEDIUM	Média
SETTINGS.SHADOW_DISTANCE.HIGH	Alta
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	Muito Alta
SETTINGS.RENDER_SIZE.SMALL	Pequeno
SETTINGS.RENDER_SIZE.MEDIUM	Médio
SETTINGS.RENDER_SIZE.DEFAULT	Padrão
SETTINGS.MIC_DEVICE.NONE	Nenhum

== Cosméticos (Personalizar) ==
COSMETICS.CATEGORY.PRESETS	Conjuntos
COSMETICS.CATEGORY.HEAD	Cabeça
COSMETICS.CATEGORY.ARMS	Braços
COSMETICS.CATEGORY.BODY	Corpo
COSMETICS.CATEGORY.LEGS	Pernas
COSMETICS.CONFIRM	Confirmar
COSMETICS.COLOR.HEADER	Selecionar Cor
COSMETICS.COLOR.CONFIRM	Confirmar
COSMETICS.PRESET.DELETE	Apagar
COSMETICS.TYPE.HAT	Chapéus
COSMETICS.TYPE.ARM_RIGHT	Acessórios do Braço Direito
COSMETICS.TYPE.ARM_LEFT	Acessórios do Braço Esquerdo
COSMETICS.TYPE.LEG_RIGHT	Acessórios da Perna Direita
COSMETICS.TYPE.LEG_LEFT	Acessórios da Perna Esquerda
COSMETICS.TYPE.HEAD_TOP_MESH	Cabeça - Parte de Cima
COSMETICS.TYPE.HEAD_BOTTOM_MESH	Cabeça - Parte de Baixo
COSMETICS.TYPE.BODY_TOP_MESH	Corpo - Parte de Cima
COSMETICS.TYPE.BODY_BOTTOM_MESH	Corpo - Parte de Baixo
COSMETICS.TYPE.ARM_RIGHT_MESH	Braço Direito
COSMETICS.TYPE.ARM_LEFT_MESH	Braço Esquerdo
COSMETICS.TYPE.LEG_RIGHT_MESH	Perna Direita
COSMETICS.TYPE.LEG_LEFT_MESH	Perna Esquerda
COSMETICS.TYPE.GRABBER_MESH	Garra
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	Pálpebra Direita
COSMETICS.TYPE.EYE_LID_LEFT_MESH	Pálpebra Esquerda
COSMETICS.TYPE.BODY_TOP_OVERLAY	Revestimento do Corpo - Parte de Cima
COSMETICS.TYPE.EARS	Orelhas
COSMETICS.TYPE.EYEWEAR	Óculos
COSMETICS.TYPE.BODY_TOP	Roupas no Corpo - Parte de Cima
COSMETICS.TYPE.BODY_BOTTOM	Roupas no Corpo - Parte de Baixo
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	Revestimento do Corpo - Parte de Baixo
COSMETICS.TYPE.HEAD_TOP_OVERLAY	Revestimento da Cabeça - Parte de Cima
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	Revestimento da Cabeça - Parte de Baixo
COSMETICS.TYPE.FOOT_RIGHT	Calçado Direito
COSMETICS.TYPE.FOOT_LEFT	Calçado Esquerdo
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	Revestimento do Braço Direito
COSMETICS.TYPE.ARM_LEFT_OVERLAY	Revestimento do Braço Esquerdo
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	Revestimento da Perna Direita
COSMETICS.TYPE.LEG_LEFT_OVERLAY	Revestimento da Perna Esquerda
COSMETICS.TYPE.HEAD_BOTTOM	Rosto - Parte de Baixo
COSMETICS.TYPE.FACE_TOP	Rosto - Parte de Cima
COSMETICS.TYPE.FACE_BOTTOM	Rosto - Parte Central

== Senha do lobby ==
PASSWORD.HEADER	Senha
PASSWORD.SKIP	Pular
PASSWORD.CONFIRM	Confirmar

== Carregamento ==
LOADING.LOADING	Carregando
LOADING.STUCK_PROMPT_TOP_TEXT	Travou no carregamento?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	Aperte [menu] para voltar ao menu principal
LOADING.LEVEL.SHOP	Loja
LOADING.LEVEL.LEVEL_NUMBER	Nível {number}
LOADING.LEVEL.GAME_OVER	Fim de Jogo

== Lobby ==
LOBBY.HEADER	Lobby
LOBBY.CHAT_PROMPT	Aperte [chat] para conversar
LOBBY.START_GAME	Iniciar Jogo
LOBBY.INVITE	Convidar
LOBBY.SETTINGS	Configurações
LOBBY.CUSTOMIZE	Personalizar
LOBBY.LEAVE	Voltar
LOBBY.PLAYER_JOINING	Jogador Entrando...
LOBBY.PING	{ping} ms

== Menu ESC ==
ESC.HEADER	Menu
ESC.CONTINUE	Continuar
ESC.CUSTOMIZE	Personalizar
ESC.SETTINGS	Configurações
ESC.SELF_DESTRUCT	Autodestruir
ESC.ACTIVE_MOONS	Luas Ativas
ESC.MAIN_MENU	Menu Principal
ESC.QUIT_GAME	Sair do Jogo

== Luas ativas ==
MOONS.HEADER	Luas Ativas
MOONS.BACK	Voltar
MOONS.MOON_1.NAME	Lua Crescente
MOONS.MOON_1.ATTRIBUTE_1	A cura do caminhão agora restaura 35 de vida.
MOONS.MOON_1.ATTRIBUTE_2	Agora é mais difícil derrubar monstros com objetos do mapa.
MOONS.MOON_2.NAME	Meia-Lua
MOONS.MOON_2.ATTRIBUTE_1	Monstros agora sobrecarregam sua garra.
MOONS.MOON_2.ATTRIBUTE_2	Monstros tomam dano pesado dos buracos, mas podem sobreviver.
MOONS.MOON_2.ATTRIBUTE_3	A cura do caminhão agora restaura 25 de vida.
MOONS.MOON_3.NAME	Lua Cheia
MOONS.MOON_3.ATTRIBUTE_1	Monstros agora sobrecarregam sua garra com um aumento total de 25%
MOONS.MOON_3.ATTRIBUTE_2	Monstros agora tomam menos dano dos buracos.
MOONS.MOON_4.NAME	Superlua
MOONS.MOON_4.ATTRIBUTE_1	Orbes de monstros agora explodem ao serem destruídos.
MOONS.MOON_4.ATTRIBUTE_2	Monstros agora sobrecarregam sua garra com um aumento total de 50%
MOONS.MOON_4.ATTRIBUTE_3	Monstros agora tomam ainda menos dano dos buracos.

== Aviso inicial ==
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	Aviso de Fotossensibilidade
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	Este jogo contém luzes piscantes.
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	Algumas pessoas podem ter crises epilépticas quando expostas a padrões de luz e luzes piscantes. Se sentir qualquer desconforto ao jogar, pare imediatamente e consulte um médico.

== Fases ==
LEVEL.NAME.SHOP	Loja
LEVEL.NAME.ARENA	Arena de Descarte
LEVEL.NAME.ARCTIC	Estação McJannek
LEVEL.NAME.MANOR	Mansão do Headman
LEVEL.NAME.MUSEUM	Museu de Artes Humanas
LEVEL.NAME.WIZARD	Academia Swiftbroom

== Jogo público ==
PUBLIC_GAME_CHOICE.HEADER	Jogo Público
PUBLIC_GAME_CHOICE.RANDOM_MATCHMAKING	Partida Aleatória
PUBLIC_GAME_CHOICE.SERVER_LIST	Lista de Servidores
PUBLIC_GAME_CHOICE.BACK	Voltar

== Lista de servidores ==
SERVER_LIST.HEADER	Lista de Servidores
SERVER_LIST.SEARCH	Buscar
SERVER_LIST.CREATE_NEW	Criar Novo
SERVER_LIST.BACK	Voltar

== Lista de servidores — busca ==
SERVER_LIST_SEARCH.HEADER	Buscar
SERVER_LIST_SEARCH.CONFIRM	Confirmar
SERVER_LIST_SEARCH.BACK	Voltar

== Lista de servidores — criar ==
SERVER_LIST_CREATE_NEW.HEADER	Criar Novo Servidor
SERVER_LIST_CREATE_NEW.CONFIRM	Confirmar
SERVER_LIST_CREATE_NEW.BACK	Voltar
